noisy_day,highest_of_day,highest_of_week,total_volume,session,day_of_week,maximum_movement
False,False,False,1239,Sydney,1,2.41
False,True,True,4583,Tokyo,4,12.45
False,False,False,3213,Tokyo,4,4.75
False,False,False,2385,New York,0,3.92
False,False,False,2300,Tokyo,3,6.49
False,False,False,1795,Tokyo,1,47.32
False,False,False,1169,New York,2,11.74
False,False,False,737,New York,3,3.15
False,False,False,689,New York,1,0.84
False,False,False,2796,Tokyo,2,5.5
False,False,False,1635,Sydney,4,75.91
False,False,False,3718,Tokyo,2,5.51
False,False,False,390,New York,3,1.56
False,False,False,4607,London,3,2.33
False,False,False,1547,Sydney,4,7.25
False,False,False,2342,London,2,1.01
False,False,False,5304,London,3,2.8
False,False,False,5522,London,1,2.16
False,False,False,1405,Tokyo,4,4.77
False,False,False,1547,London,1,0.71
False,False,False,1956,Tokyo,1,25.38
False,False,False,2892,London,4,38.28
False,False,False,2875,London,1,3.56
True,False,False,15825,London,3,9.03
True,False,False,26527,London,2,19.96
True,False,False,11180,London,2,1.99
False,True,True,9869,London,2,4.48
False,False,False,1330,Sydney,3,1.79
False,False,False,2570,New York,0,1.81
False,False,False,6530,London,4,6.21
False,False,False,1966,Sydney,0,1.26
False,False,False,1545,Tokyo,2,18.03
False,False,False,2494,Tokyo,3,3.06
False,False,False,789,Sydney,0,9.15
False,False,False,1165,Tokyo,1,2.33
False,False,False,1320,Sydney,2,25.07
False,False,False,1870,Tokyo,0,8.91
False,False,False,1106,New York,0,0.9
False,True,True,2312,London,0,10.68
False,True,True,2738,Sydney,0,2.48
False,False,False,5617,Tokyo,3,6.27
False,False,False,4936,London,3,23.79
False,True,True,2458,New York,0,3.14
False,False,False,2464,Sydney,0,3.42
False,False,False,1564,Sydney,2,30.75
False,True,True,4169,Tokyo,1,1.86
False,False,False,2044,London,2,5.99
False,False,False,1317,Sydney,0,1.26
False,False,False,2281,Tokyo,0,2.08
False,False,False,3089,London,2,8.75
False,False,False,812,New York,3,2.1
False,False,False,1889,Tokyo,2,5.18
False,False,False,1677,Tokyo,2,2.85
True,False,False,2017,London,0,3.5
False,False,False,1999,Tokyo,1,5.34
False,False,False,1488,New York,0,2.26
False,True,True,2838,London,1,15.99
False,False,False,1197,London,2,4.77
False,True,False,2935,London,4,5.21
False,False,False,1613,Tokyo,0,4.22
False,True,False,1662,London,1,2.29
False,False,False,1689,Sydney,0,18.68
False,False,False,2785,London,1,15.82
False,False,False,1499,Sydney,2,1.92
False,False,False,1536,Sydney,0,13.76
False,False,False,1644,Sydney,4,1.8
False,False,False,2126,Sydney,0,20.14
False,False,False,1804,Tokyo,3,18.56
False,False,False,2637,London,3,15.64
False,False,False,3083,London,0,8.09
False,False,False,1286,Sydney,3,4.62
False,False,False,1809,Tokyo,2,16.74
False,False,False,1643,Tokyo,3,49.49
False,True,False,728,Sydney,4,2.22
False,False,False,1773,Sydney,2,1.65
False,True,False,1854,Tokyo,2,12.06
False,False,False,2159,Tokyo,0,3.53
True,True,True,2475,Tokyo,1,11.59
True,False,False,1925,Tokyo,2,14.79
True,False,False,1902,Sydney,4,14.59
True,False,False,2528,Sydney,4,24.53
False,False,False,1823,Tokyo,3,56.61
False,False,False,1600,Sydney,1,48.87
False,False,False,2093,London,1,26.26
False,False,False,1704,Sydney,0,6.93
False,False,False,1436,Sydney,0,8.77
False,False,False,2472,London,1,4.84
False,True,False,2148,London,2,12.75
False,False,False,1693,Tokyo,0,6.04
False,False,False,1190,Sydney,2,4.1
False,False,False,1646,Sydney,2,9.56
False,False,False,754,New York,4,12.76
False,False,False,1648,Sydney,2,7.99
False,False,False,1775,Tokyo,1,6.23
False,False,False,1486,London,0,1.68
False,False,False,870,New York,3,28.22
False,False,False,1809,Sydney,1,5.82
False,True,True,2375,New York,2,63.36
False,False,False,1913,Tokyo,3,6.39
True,False,False,1021,Sydney,3,2.86
True,False,False,2208,Sydney,0,15.57
