candle_size,gap_size,noisy_day,percentage,day_of_week,session,entry_day_of_week,entry_session,lowest_of_day,lowest_of_week,total_volume,success
19.2,5.679999999999836,True,0.011082954761918505,0,London,1,Sydney,False,False,28152,False
17.25,0.9900000000000091,True,0.009979693493239843,0,London,0,New York,False,False,23664,False
8.47,2.019999999999982,False,0.004891429891429892,1,Tokyo,1,London,True,False,12409,True
3.81,0.599999999999909,False,0.00220334376210827,1,New York,2,New York,False,False,5177,True
4.75,0.3400000000001455,False,0.0027491607824979745,2,Sydney,2,Sydney,True,False,3861,False
6.94,0.9500000000000455,False,0.003959898891342429,3,London,3,London,False,False,8683,True
5.75,0.08999999999991815,False,0.0032386885282836074,0,Tokyo,0,Tokyo,True,True,9792,True
12.46,2.7100000000000364,False,0.006984383232995886,1,London,1,London,True,False,22564,False
11.61,0.3400000000001455,False,0.006500377928949357,2,London,2,New York,True,False,21324,True
13.23,0.42000000000007276,False,0.007415960851798496,2,London,2,London,True,False,21185,True
7.44,1.6799999999998363,False,0.004167063396492722,3,Sydney,3,Tokyo,True,False,8725,False
7.04,1.8100000000001728,False,0.003949907985098074,3,Sydney,3,Tokyo,True,False,10660,True
11.02,0.5499999999999545,False,0.0061879520237186104,3,Sydney,3,Tokyo,True,False,11992,True
5.22,1.0399999999999636,False,0.002933803940964221,0,Sydney,0,Sydney,True,True,3799,True
4.58,0.03999999999996362,False,0.002537888233175408,1,Sydney,1,Tokyo,True,False,6085,True
4.37,0.12000000000011823,False,0.0024245988592733973,1,Tokyo,1,Tokyo,True,False,11443,False
3.77,0.6699999999998454,False,0.002089858366362704,1,New York,4,Tokyo,False,False,4106,True
3.89,0.30999999999994543,False,0.0021577785420295323,2,New York,4,Tokyo,True,False,2827,True
2.82,0.15000000000009095,False,0.001564493758668516,2,Sydney,2,Sydney,True,False,1941,True
9.9,0.7799999999999727,False,0.00545292309726032,0,Sydney,0,Sydney,True,True,8479,True
7.64,2.7799999999999727,False,0.004216009800567285,2,Tokyo,2,Tokyo,True,False,11375,False
3.96,0.9900000000000091,False,0.0021853219210966343,3,Sydney,3,Tokyo,True,False,2621,False
4.17,0.9499999999998181,False,0.002280071518790086,4,New York,0,New York,False,False,2930,True
4.68,0.2300000000000182,False,0.0025604271755424496,0,Sydney,0,Sydney,True,True,3153,True
5.92,1.7199999999998,False,0.003246717634283583,1,Sydney,0,London,True,True,3697,True
9.1,0.8800000000001091,False,0.004995114668071885,1,Tokyo,0,London,True,True,4898,True
7.7,2.3299999999999272,False,0.004233374384236453,1,Tokyo,1,Tokyo,True,True,7078,True
10.55,2.5599999999999454,False,0.0058128963651490695,1,Tokyo,1,London,True,True,10227,True
8.1,0.9500000000000455,False,0.004469729995199179,1,Tokyo,1,London,True,True,10224,True
16.08,0.7300000000000182,False,0.008981233243967827,3,London,3,London,True,False,24400,False
10.28,2.3299999999999272,False,0.005718990609283902,4,Tokyo,4,London,False,False,7101,True
5.22,0.03999999999996362,False,0.0029098774172329404,0,New York,1,Tokyo,False,False,5586,True
7.53,1.1100000000001273,False,0.004208843602054676,1,Tokyo,1,London,True,False,8873,False
5.25,0.22000000000002728,False,0.002936340145642471,1,Tokyo,1,London,True,False,7711,True
6.44,2.160000000000082,False,0.00359375,3,Sydney,3,Tokyo,True,False,4123,True
11.1,3.689999999999827,False,0.006234519015282996,3,Tokyo,1,London,True,True,12146,True
19.9,2.2200000000000273,False,0.011222331876497954,3,London,1,London,True,True,21654,True
34.51,8.210000000000036,False,0.019575032899214955,3,London,4,Tokyo,True,True,30940,True
9.3,2.8300000000001546,False,0.005278542441183983,4,London,4,London,False,False,11979,True
12.56,1.740000000000009,False,0.00717529778057071,0,Sydney,0,Tokyo,True,True,8459,False
5.04,0.029999999999972715,False,0.002851162527578209,3,Sydney,3,Tokyo,True,False,5609,False
7.78,0.9300000000000637,False,0.004406084701031862,3,Sydney,3,Tokyo,True,False,8437,True
25.25,7.069999999999936,False,0.014310489447076693,3,London,0,New York,True,False,24188,True
25.33,7.459999999999809,False,0.014429924005058731,3,London,4,Tokyo,True,False,28206,True
15.5,1.400000000000091,False,0.008863372541843696,3,New York,4,Sydney,True,True,6469,True
17.22,4.029999999999973,False,0.009865594170018218,4,London,4,London,True,False,22900,False
8.01,0.7799999999999727,False,0.004582432293275667,4,New York,4,New York,False,False,4660,False
12.85,0.9800000000000182,False,0.0073307091106166915,0,Tokyo,0,London,True,True,14228,True
10.32,0.33999999999991815,False,0.005897985426489499,0,Tokyo,0,London,True,True,13779,True
2.89,0.5099999999999909,False,0.0016504571595004085,0,New York,1,New York,False,False,7681,True
5.07,0.5,False,0.002894777410458882,1,Sydney,1,Tokyo,False,False,6387,True
15.95,2.910000000000082,False,0.009142549252259843,1,Tokyo,1,Tokyo,True,True,17076,True
12.02,0.9700000000000273,False,0.00692121219100703,1,London,1,London,True,True,15842,True
5.12,0.8299999999999272,False,0.002950634501677021,1,New York,2,Sydney,False,False,12419,True
5.48,0.36999999999989086,False,0.003159156943227413,1,New York,2,New York,False,False,10673,True
9.61,0.5599999999999454,False,0.005521560515958516,2,London,3,London,False,False,21480,False
12.23,2.6000000000001364,False,0.007086527485644423,2,New York,2,New York,True,True,16327,False
10.26,1.599999999999909,False,0.005930978669287242,3,Tokyo,3,London,True,False,11796,False
11.1,1.4700000000000273,False,0.006427144552850236,3,London,3,London,True,False,12935,False
4.72,0.060000000000172804,False,0.002688585473663824,4,Sydney,4,Sydney,True,False,3058,True
5.03,1.5599999999999454,False,0.0028681560550594732,4,Sydney,4,Sydney,True,False,4774,False
7.26,0.30999999999994543,False,0.004119172307360609,0,Sydney,0,Tokyo,True,True,7533,True
7.57,2.410000000000082,False,0.004301747407302174,0,Sydney,0,Sydney,True,True,6081,True
13.81,1.1099999999999,False,0.007866659831046249,0,Tokyo,0,London,True,True,16295,True
5.9,0.5700000000001637,False,0.003339351712974231,1,Sydney,3,Tokyo,True,False,4825,True
6.68,0.7200000000000273,False,0.003784638221446661,1,Sydney,2,New York,True,False,5313,True
7.34,1.2799999999999727,False,0.004165886272439881,1,Sydney,1,New York,True,False,4939,True
7.26,1.5299999999999727,False,0.004124601600981723,1,Sydney,1,Tokyo,True,False,4771,True
12.76,1.5499999999999545,False,0.007273805180591025,1,London,1,London,True,False,25674,False
3.46,0.6999999999998181,False,0.0019654735598361723,1,New York,2,London,False,False,5779,True
2.9,0.15999999999985448,False,0.001648289189496419,2,Sydney,2,London,True,False,3172,True
4.21,0.42000000000007276,False,0.002393963345634855,2,Sydney,2,London,True,False,5210,True
5.07,0.11999999999989086,False,0.00288982746533062,2,Tokyo,2,Tokyo,True,False,5666,True
