candle_size,noisy_day,percentage,day_of_week,session,lowest_of_day,lowest_of_week,volume,success
3.58,False,0.0032564697321144317,4,Tokyo,True,False,7493,False
6.12,False,0.005532753539334984,0,Tokyo,True,True,9715,False
6.81,False,0.006238034606893898,3,London,True,False,8385,True
2.21,False,0.002023105512733664,0,Sydney,False,False,5828,True
0.99,False,0.0009087320892576851,1,New York,True,False,1015,False
1.65,False,0.0015141504239621186,1,Sydney,False,False,4766,False
4.23,False,0.003870259389725056,1,Tokyo,False,False,9137,True
2.68,False,0.0023931349174457755,3,Tokyo,True,False,3669,False
1.25,False,0.0011207244362756085,4,New York,True,False,999,False
1.81,False,0.001625957832894654,4,Tokyo,False,False,9744,False
1.26,False,0.0011180421839090658,1,Sydney,True,False,3462,True
3.58,False,0.0030643601222320183,0,Sydney,False,False,2218,False
9.74,False,0.00813001343872858,1,London,False,False,16374,False
5.14,False,0.004331010541039274,2,Tokyo,True,False,9749,False
7.55,False,0.006193550504097587,0,Tokyo,True,True,6573,True
6.52,False,0.005270092226613965,3,New York,False,False,3434,True
7.47,False,0.0061370862396174794,0,Tokyo,True,True,5849,True
11.44,False,0.00931816145506675,4,London,True,False,13166,False
5.62,False,0.00455237663221333,1,London,False,False,9405,False
4.01,False,0.0032248465986312496,2,New York,False,False,3361,False
2.55,False,0.0020199459763468285,4,New York,True,False,3033,False
11.13,False,0.00890065335433877,3,London,True,True,7149,False
6.1,False,0.004778167690186739,4,Sydney,False,False,3967,True
10.41,False,0.008269517968923772,4,New York,True,False,4663,False
3.63,False,0.0029383671420939303,1,Tokyo,False,False,2245,False
4.05,False,0.0033138050664397456,3,London,False,False,6779,False
2.01,False,0.001647041471029278,1,Sydney,True,False,2310,False
2.28,False,0.001836443742801221,2,New York,True,False,909,False
2.26,False,0.0018270746594446015,2,Sydney,True,False,1543,False
6.15,False,0.005018523656422895,2,London,True,False,3115,False
5.44,False,0.004433072021122284,2,London,False,False,4168,False
1.81,False,0.0014593949558150037,4,Sydney,True,False,671,True
1.87,False,0.0015109523847999806,4,Sydney,True,False,2486,False
1.89,False,0.0015048130130496746,2,Sydney,True,False,1065,False
22.58,False,0.017776868027617913,3,London,False,False,14648,False
4.57,False,0.0036939441947686637,1,Tokyo,True,False,4773,False
4.44,False,0.003472439466933617,4,Sydney,False,False,3728,False
2.13,False,0.0016454610767341073,1,Sydney,False,False,2288,False
4.02,False,0.0030902633642359667,1,Tokyo,False,False,4772,True
8.15,False,0.006505323989080635,3,London,True,True,10980,False
4.92,False,0.003920943576665604,0,Tokyo,True,True,2658,True
3.87,False,0.003164375832999452,4,Sydney,True,False,3033,False
3.49,False,0.002802672577173878,0,Sydney,True,True,5171,False
1.99,False,0.001599768475718087,1,Tokyo,True,False,2823,False
3.19,False,0.002464138671527998,2,New York,False,False,1175,False
5.73,False,0.004363719442540553,3,London,False,False,6586,True
2.72,False,0.002123374291558026,1,Tokyo,True,False,2645,True
4.49,False,0.003418243829651172,1,Tokyo,True,True,7849,False
2.48,False,0.0018819529815295422,3,New York,True,False,1838,True
3.33,False,0.002433427844845225,0,Sydney,False,False,5404,True
8.23,False,0.006217467836124773,0,Sydney,True,True,5609,False
1.77,False,0.0013238791904142172,3,New York,False,False,1598,False
4.83,False,0.003579633884236271,2,London,False,False,10967,False
2.96,False,0.0021946246524559778,1,New York,False,False,2636,True
3.28,False,0.00244524295874398,1,London,False,False,6966,False
3.54,False,0.002689703904629482,4,Tokyo,True,False,2364,True
3.46,False,0.0025842495219885273,0,Sydney,True,True,4933,False
6.43,False,0.004823416449125334,1,London,True,True,10664,False
3.34,False,0.002523020675172419,2,London,True,True,5344,False
16.65,False,0.012728773909453693,1,London,True,True,12027,True
6.92,False,0.005417253796774698,1,London,True,True,9296,False
2.24,False,0.0017592359889419453,2,Tokyo,False,False,5477,False
1.94,False,0.0015419955329820127,4,Sydney,False,False,2333,False
