candle_size,noisy_day,percentage,day_of_week,session,lowest_of_day,lowest_of_week,volume,success
1.21,False,0.0006996848526903172,2,New York,True,True,146,True
0.97,False,0.0005535202748199632,2,New York,False,False,241,False
1.5,False,0.0008559640723346704,3,Tokyo,False,False,568,False
2.85,False,0.001601168572150903,0,Sydney,True,True,1086,False
3.14,False,0.001762797121138969,0,London,False,False,1735,False
2.15,False,0.0011988335071177253,1,London,False,False,884,False
8.23,False,0.0045966097908347065,1,London,True,False,2464,False
1.34,False,0.0007510200421467964,1,New York,False,False,591,False
2.61,False,0.0014559532309889325,2,Tokyo,False,False,921,True
1.94,False,0.0010853025420694594,3,Sydney,True,False,630,True
1.48,False,0.0008317363620525904,3,Sydney,False,False,401,False
1.95,False,0.001093693036820999,3,New York,False,False,844,True
2.15,False,0.001207254758829805,3,New York,False,False,848,False
3.42,False,0.0019211540406026356,3,New York,False,False,838,False
1.86,False,0.0010421627678946631,4,Sydney,False,False,1137,False
2.98,False,0.0016694210246211592,4,London,False,False,1219,False
1.45,False,0.0008115247710940473,0,Tokyo,False,False,759,False
1.6,False,0.0008855631074409441,1,London,False,False,663,False
1.2,False,0.0006646836936472857,1,New York,False,False,422,True
1.11,False,0.0006152311273694712,1,New York,False,False,627,True
6.28,False,0.003487338960462017,2,Sydney,True,False,1157,False
1.36,False,0.0007589455121766111,2,New York,False,False,194,False
0.8,False,0.0004468400033513001,3,Sydney,False,False,548,True
0.89,False,0.0004973039421115861,3,Sydney,False,False,382,True
2.26,False,0.0012590459106077403,3,London,False,False,912,False
1.23,False,0.0006858328129181907,3,New York,False,False,556,True
3.81,False,0.002114610795060358,4,Tokyo,False,False,743,False
1.4,False,0.0007790805736258966,4,Tokyo,False,False,368,False
0.61,False,0.00033616779732939485,2,New York,True,False,127,False
1.63,False,0.0008976067491216669,2,Sydney,False,False,217,False
1.99,False,0.001097458748786729,2,London,False,False,554,False
0.95,False,0.0005239066894612033,2,New York,False,False,339,False
0.47,False,0.00025908877925084753,2,New York,False,False,138,False
1.44,False,0.0007935720662632675,3,Sydney,False,False,423,True
2.75,False,0.0015151181241184768,3,Tokyo,False,False,683,False
2.57,False,0.0014168522724766796,3,London,False,False,1520,True
1.21,False,0.0006668687481054865,4,Sydney,False,False,685,True
4.05,False,0.0022106021571110432,4,London,False,False,1073,False
1.45,False,0.0007947426404091006,0,Tokyo,True,True,387,False
0.91,False,0.000499199087178812,0,London,False,False,162,False
0.78,False,0.00042791075317778597,1,New York,True,False,156,False
1.55,False,0.0008488127573819329,1,Sydney,False,False,422,True
2.33,False,0.0012813180528364972,1,Tokyo,True,True,1010,False
4.36,False,0.002404986485741078,1,London,False,False,1509,False
1.34,False,0.0007455005702523019,1,New York,False,False,352,True
0.86,False,0.00047824273599332686,2,Tokyo,False,False,256,False
1.38,False,0.0007705450768869978,2,New York,False,False,215,False
1.01,False,0.0005642710288727988,3,Sydney,True,False,168,False
1.37,False,0.0007656539914604432,3,Sydney,False,False,354,False
1.06,False,0.0005926986239327231,3,Tokyo,False,False,301,False
5.42,False,0.0030162722881374796,3,London,False,False,2447,False
0.95,False,0.0005295045509522721,4,New York,True,False,204,False
0.93,False,0.0005171982315157245,4,Sydney,False,False,253,False
1.16,False,0.0006451864088145811,4,Sydney,False,False,212,False
1.79,False,0.0009999553092599213,0,Tokyo,False,False,252,False
1.28,False,0.0007160118141949343,1,Tokyo,False,False,521,False
0.98,False,0.0005432523074364588,1,New York,False,False,587,False
0.67,False,0.00037132073798611153,2,Sydney,False,False,144,True
0.97,False,0.0005377178588850946,2,Tokyo,False,False,419,False
1.44,False,0.0008027292795504715,2,New York,False,False,278,False
1.5,False,0.0008368807779643712,2,New York,True,False,536,False
4.84,False,0.002700531178859974,3,Tokyo,True,False,1431,True
4.73,False,0.0026537402027614608,3,Tokyo,True,True,1686,True
3.08,False,0.0017457942230082076,4,Tokyo,False,False,1070,False
2.36,False,0.0013371710899077577,4,Tokyo,False,False,860,True
2.77,False,0.0015780148914473872,4,London,False,False,1358,False
1.54,False,0.0008778630305655946,4,New York,False,False,356,False
1.6,False,0.0009132472217307177,0,Sydney,True,True,560,True
1.59,False,0.0009087375977321567,0,Sydney,False,False,626,False
1.51,False,0.000855703461915529,1,Sydney,True,False,696,False
1.63,False,0.0009232564330582444,1,Sydney,False,False,389,True
2.82,False,0.0015841895634490391,1,London,False,False,1103,False
0.44,False,0.0002479809280122638,1,New York,False,False,145,False
2.56,False,0.001440622168699107,2,London,False,False,1183,False
3.97,False,0.002257477538951439,3,London,False,False,2086,True
4.13,False,0.0023568216576502544,3,London,True,False,2184,False
1.61,False,0.0009199894858344477,3,New York,False,False,564,True
1.8,False,0.00102929487582701,3,New York,False,False,264,True
1.47,False,0.0008388495777219813,4,Sydney,False,False,531,False
2.91,False,0.0016592541908997606,0,London,False,False,1662,False
0.92,False,0.0005252940504739066,1,Sydney,True,False,175,False
1.84,False,0.0010499825953971958,1,Sydney,False,False,491,True
2.53,False,0.001454424208977189,1,Tokyo,False,False,950,True
1.69,False,0.0009731099211147578,1,New York,False,False,928,True
1.44,False,0.0008301434303371304,1,New York,False,False,841,False
1.34,False,0.0007698539001143291,2,Sydney,False,False,633,True
1.95,False,0.001118407846061197,2,London,False,False,1203,True
4.67,False,0.002661484276156064,4,London,True,False,1570,False
1.56,False,0.0008859206760256235,4,London,False,False,997,True
1.65,False,0.0009380703041053367,4,New York,False,False,498,False
2.07,False,0.0011733164043236993,0,Sydney,False,False,639,True
3.78,False,0.0021566602575440316,0,Tokyo,True,True,1498,False
0.93,False,0.000527085387832829,1,Sydney,False,False,406,True
1.08,False,0.000612964192675078,1,Sydney,True,False,327,True
2.49,False,0.0014147244980284765,1,Tokyo,True,False,570,False
0.98,False,0.0005577847975184268,1,Tokyo,False,False,621,False
2.23,False,0.0012696279933045627,1,Tokyo,True,False,1136,False
2.13,False,0.0012117350566898583,2,Sydney,False,False,361,True
2.51,False,0.0014296373505573307,2,Sydney,True,False,393,True
1.44,False,0.0008213692910556306,2,Sydney,True,False,635,False
1.32,False,0.0007497486638002034,3,Sydney,True,False,430,True
2.09,False,0.0011842835934224095,3,Tokyo,False,False,834,True
1.36,False,0.0007748537178734824,4,Sydney,True,False,442,False
1.21,False,0.0006885876555013031,0,Tokyo,False,False,638,True
1.67,False,0.0009509492409488992,0,Tokyo,False,False,644,False
2.46,False,0.001398378790118123,0,London,False,False,1179,False
2.06,False,0.0011735350750264899,0,New York,False,False,940,False
1.18,False,0.0006725869518131348,1,Sydney,False,False,147,False
1.03,False,0.0005859563889157531,1,Sydney,False,False,265,False
1.31,False,0.0007435113030745044,1,Tokyo,False,False,1007,False
2.65,False,0.0014942710212919523,2,London,False,False,1013,False
1.64,False,0.0009142092647304754,2,New York,False,False,917,True
2.59,False,0.0014438460938109732,2,New York,False,False,740,False
1.37,False,0.0007654443767774234,3,Sydney,True,False,354,False
1.29,False,0.0007207871666359355,3,Sydney,False,False,366,False
3.45,False,0.0019176787749089798,3,London,False,False,1120,False
1.59,False,0.0008868808567603749,4,Tokyo,True,False,999,True
2.31,False,0.0013043404610928227,0,Sydney,False,False,819,False
1.58,False,0.0008937106526915963,0,London,False,False,1068,True
0.23,False,0.0001303928794149328,1,New York,True,False,38,False
0.43,False,0.0002438070182401669,1,Sydney,True,False,122,False
7.34,False,0.004110478921195287,2,London,False,False,2293,False
2.67,False,0.0014964019100141234,2,New York,False,False,426,False
0.7,False,0.0003926540045099117,3,New York,True,False,80,False
1.16,False,0.0006507312311722699,3,Sydney,True,False,271,False
1.23,False,0.0006887592254538531,4,Sydney,False,False,335,False
0.71,False,0.0003937160697154708,1,Sydney,True,False,260,False
