candle_size,noisy_day,day_of_week,session,highest_of_day,highest_of_week,total_volume,success
0.41,False,1,New York,False,False,2520,True
2.17,False,4,Tokyo,False,False,5524,False
6.34,False,2,Tokyo,True,True,8423,True
2.02,False,1,Tokyo,False,False,4080,True
0.92,False,4,Sydney,False,False,2130,True
0.42,False,4,Sydney,True,False,815,False
0.66,False,4,New York,True,False,1161,True
4.15,False,4,London,True,False,23558,False
2.28,False,3,London,False,False,7767,True
1.05,False,3,Sydney,True,False,2408,True
1.26,False,0,Tokyo,False,False,2386,True
0.56,False,2,London,True,False,4414,False
1.55,False,1,Sydney,False,False,2533,False
2.53,False,1,Tokyo,True,False,5260,False
1.98,False,0,New York,False,False,3436,False
1.75,True,4,New York,False,False,17088,True
3.13,True,3,London,False,False,24839,True
0.1,True,2,New York,True,False,3069,True
0.88,True,2,New York,True,False,1882,True
0.27,True,4,New York,True,False,3483,False
1.44,True,1,New York,True,False,3520,False
0.76,True,2,New York,True,False,1484,False
0.65,False,4,New York,True,False,1139,True
0.32,False,0,New York,True,True,2913,False
1.48,False,0,Tokyo,False,False,2803,True
1.95,False,1,Tokyo,True,True,3934,True
4.11,False,4,London,False,False,6978,False
3.44,False,4,New York,False,False,2917,True
0.85,False,0,New York,True,True,1628,True
3.01,False,2,London,False,False,3490,True
0.88,False,3,London,False,False,5171,False
0.76,False,2,New York,True,False,1060,False
2.06,False,2,Tokyo,False,False,3178,False
0.09,False,4,New York,True,False,1085,True
1.3,False,0,New York,True,True,1654,True
0.63,False,4,New York,True,False,1860,True
4.24,True,0,New York,True,True,5798,True
1.66,False,2,New York,True,False,3435,True
2.26,False,4,London,True,False,14307,False
1.0,False,3,Tokyo,False,False,8664,False
0.94,False,4,New York,True,False,1462,False
0.89,False,1,New York,True,False,1466,True
2.65,False,3,Tokyo,True,False,8884,False
3.63,False,3,London,True,False,5941,True
0.32,False,4,New York,False,False,2789,False
0.56,False,0,Tokyo,False,False,4998,False
7.53,True,2,London,False,False,6318,True
1.59,False,3,Sydney,False,False,4721,True
0.94,False,0,New York,True,True,2743,True
3.21,False,3,Sydney,True,True,4513,True
1.59,False,3,Tokyo,True,True,3630,False
0.95,False,2,Tokyo,True,False,2708,True
0.52,False,4,Tokyo,True,True,3318,False
1.4,False,0,New York,True,True,1889,True
0.72,False,2,New York,True,False,1029,False
1.31,False,2,New York,False,False,4217,False
0.82,False,4,London,True,False,5810,False
0.88,False,3,New York,True,False,1944,False
3.46,False,3,New York,False,False,3047,True
2.16,False,0,Tokyo,False,False,3990,True
2.0,False,0,Tokyo,False,False,4181,False
2.64,False,2,New York,True,False,1629,True
4.48,False,4,New York,True,True,1788,False
4.74,False,0,New York,True,True,1290,True
2.74,True,4,Tokyo,False,False,3521,True
13.16,True,0,New York,True,True,4081,False
2.78,True,1,New York,True,True,2268,True
6.15,True,2,New York,True,True,4798,True
5.98,True,2,Sydney,False,False,4403,True
1.78,False,3,New York,True,False,1432,False
4.52,False,0,New York,True,True,3795,True
0.17,False,2,New York,True,False,1581,True
2.2,False,2,Tokyo,True,False,3467,True
3.17,False,1,Sydney,False,False,2576,False
2.59,False,0,Sydney,False,False,4153,True
1.23,False,1,Tokyo,False,False,3568,True
0.45,False,0,Sydney,False,False,4275,True
3.24,False,3,Tokyo,False,False,3801,True
1.58,False,2,New York,True,False,1066,True
0.73,False,2,New York,True,False,1108,False
1.73,False,0,New York,True,True,2451,True
0.63,False,1,Sydney,True,False,1231,True
0.73,False,1,New York,True,False,1539,True
1.53,False,3,New York,True,False,1835,False
0.83,False,3,New York,True,False,2106,True
0.44,False,0,Tokyo,False,False,2536,True
2.2,False,0,Sydney,False,False,4339,False
7.62,False,4,Sydney,True,False,5129,False
4.05,False,4,New York,False,False,4676,True
3.87,False,2,Sydney,True,True,4210,True
2.03,True,3,New York,True,False,2815,True
9.22,True,3,London,True,True,5124,True
9.46,True,4,Sydney,False,False,5599,False
