noisy_day,highest_of_day,highest_of_week,total_volume,session,day_of_week,maximum_movement
False,False,False,10213,New York,4,6.09
False,False,False,13377,New York,4,5.73
False,True,False,6893,Sydney,4,3.73
False,True,False,11160,Tokyo,2,2.84
False,True,True,8320,Sydney,0,1.57
False,False,False,6460,New York,4,2.58
False,False,False,11447,New York,1,4.65
False,False,False,11440,London,0,1.04
False,True,True,17339,Sydney,1,1.48
False,False,False,3103,New York,4,1.64
False,True,False,5013,London,2,3.25
False,False,False,4071,New York,1,1.1
False,False,False,4379,New York,4,28.25
False,False,False,5832,New York,4,1.21
False,True,False,9561,New York,4,7.35
False,True,False,2880,Sydney,4,17.25
False,False,False,24011,London,3,16.59
False,False,False,12009,London,0,2.67
False,False,False,13955,New York,0,17.62
False,True,True,9498,New York,2,3.1
False,False,False,7495,New York,1,1.01
False,False,False,6629,New York,3,11.37
False,True,False,7471,Tokyo,1,22.91
False,True,False,14458,Sydney,1,4.29
False,True,False,7659,New York,3,1.5
False,False,False,9481,Sydney,2,2.13
False,False,False,10837,New York,3,1.68
False,True,False,5063,New York,3,5.16
True,True,True,30734,London,4,71.57
False,False,False,9008,Tokyo,2,34.08
False,True,False,21606,London,3,16.27
False,True,False,24389,Tokyo,1,10.42
False,False,False,13929,New York,2,4.67
False,False,False,14912,London,1,5.46
False,False,False,10157,London,2,7.28
True,True,True,10197,Tokyo,0,14.5
False,False,False,6331,New York,4,12.76
