noisy_day,highest_of_day,highest_of_week,total_volume,session,day_of_week,maximum_movement
False,False,False,1031,New York,2,5.85
False,False,False,331,New York,1,5.77
False,False,False,272,New York,0,0.91
False,False,False,9683,London,2,5.84
False,False,False,807,Sydney,2,1.69
False,True,False,363,New York,4,0.87
False,True,True,3652,Sydney,0,0.79
False,False,False,2936,Tokyo,0,1.72
False,False,False,488,New York,2,2.63
False,False,False,1409,Sydney,4,0.8
False,False,False,2212,Tokyo,0,0.91
False,True,False,5291,London,4,3.96
False,False,False,574,New York,4,95.2
False,True,True,1538,Sydney,0,0.93
False,True,True,1269,New York,3,1.94
False,False,False,2632,New York,1,0.88
False,False,False,3896,London,0,2.79
False,True,False,1887,New York,0,1.47
False,False,False,3239,New York,4,5.88
False,False,False,2152,Sydney,3,0.95
False,True,False,1454,New York,0,0.64
False,False,False,1268,New York,4,13.89
False,False,False,912,New York,0,3.96
False,False,False,3834,New York,4,0.9
False,True,False,4503,New York,4,1.47
False,True,False,9446,Tokyo,4,4.85
False,True,False,892,Sydney,2,1.09
False,False,False,562,New York,4,0.95
False,False,False,8087,London,3,2.8
False,True,True,6997,London,1,1.75
False,False,False,5368,London,4,43.22
False,False,False,2659,New York,1,1.25
False,False,False,3891,Tokyo,2,1.99
True,False,False,1532,Sydney,2,1.39
True,True,True,17343,London,0,12.65
False,False,False,2119,Sydney,3,1.79
False,False,False,4206,New York,0,1.81
False,False,False,9296,London,4,6.21
False,False,False,2720,Sydney,0,1.26
False,False,False,2322,Tokyo,0,4.26
False,True,True,3167,Tokyo,1,5.53
False,False,False,2316,Tokyo,2,18.03
False,True,False,2996,Sydney,2,135.2
False,True,True,4729,London,1,7.14
False,True,False,1234,New York,2,1.67
False,True,True,2192,Sydney,0,1.71
False,False,False,3806,London,4,70.91
False,True,False,7221,Tokyo,2,4.64
False,False,False,4388,New York,4,4.11
False,True,True,6026,Tokyo,1,1.86
False,True,False,7623,Tokyo,3,5.97
False,True,True,3136,London,1,4.68
False,False,False,3497,Tokyo,0,2.08
False,False,False,4413,London,2,8.75
True,False,False,4530,London,0,9.58
True,False,False,3047,London,0,3.5
False,False,False,3451,Tokyo,4,100.03
False,False,False,2608,Tokyo,1,70.87
True,False,False,1912,London,2,4.77
False,False,False,3831,London,4,2.87
False,False,False,2350,Tokyo,1,1.33
False,False,False,4106,London,1,15.82
False,False,False,2135,Sydney,3,1.73
False,True,True,2406,Tokyo,2,4.24
False,False,False,2431,Sydney,1,1.83
False,False,False,3288,Tokyo,4,2.81
True,True,True,2335,Tokyo,3,2.17
False,True,False,933,Sydney,4,2.22
False,False,False,3221,Tokyo,0,3.53
True,False,False,3825,Sydney,3,22.01
True,True,True,3593,Tokyo,1,11.59
False,False,False,2756,Tokyo,1,19.8
True,False,False,3565,Sydney,4,24.53
False,True,False,3712,Sydney,4,40.65
False,False,False,3838,New York,2,25.01
False,False,False,1941,Sydney,2,4.04
True,False,False,3327,Tokyo,2,3.19
False,False,False,3311,Sydney,3,9.05
True,False,False,2975,Tokyo,0,5.91
False,False,False,2439,Tokyo,1,2.26
False,False,False,4323,London,3,11.49
False,True,False,2995,London,4,7.53
