noisy_day,highest_of_day,highest_of_week,total_volume,session,day_of_week,maximum_movement
False,False,False,9500,Sydney,3,2.72
False,False,False,26254,London,1,13.96
False,False,False,16978,New York,3,3.27
False,False,False,13377,New York,4,5.73
False,True,True,13514,London,2,9.54
False,True,False,6893,Sydney,4,3.73
False,False,False,24866,London,0,7.27
False,False,False,11318,Tokyo,3,1.74
False,False,False,10595,Sydney,1,4.08
False,False,False,11440,London,0,1.04
False,False,False,2473,New York,0,1.41
False,False,False,7868,London,4,7.3
False,True,False,9561,New York,4,7.35
False,False,False,12009,London,0,2.67
False,True,True,9498,New York,2,3.1
False,False,False,17250,New York,1,24.48
False,False,False,7495,New York,1,1.01
False,False,False,5239,Sydney,0,8.39
False,False,False,6629,New York,3,11.37
False,True,False,10485,New York,2,2.34
False,True,False,4718,Sydney,2,1.43
False,True,False,7471,Tokyo,1,22.91
False,False,False,9081,New York,1,12.37
False,True,False,14650,London,0,13.42
False,True,False,14458,Sydney,1,4.29
False,True,False,7659,New York,3,1.5
False,True,False,24389,Tokyo,1,10.42
False,False,False,13929,New York,2,4.67
False,False,False,14912,London,1,5.46
False,False,False,10157,London,2,7.28
False,False,False,6331,New York,4,12.76
