noisy_day,highest_of_day,highest_of_week,total_volume,session,day_of_week,maximum_movement
False,True,False,5087,Sydney,1,3.94
False,True,False,2086,Sydney,1,2.94
False,False,False,5985,New York,4,14.42
False,False,False,4835,New York,2,54.32
False,False,False,3563,New York,0,1.99
False,True,False,4272,Sydney,3,26.4
False,False,False,6169,New York,0,1.66
False,False,False,6710,New York,3,0.84
False,False,False,15887,New York,2,16.63
False,False,False,9133,Tokyo,0,6.35
False,False,False,6177,Tokyo,0,1.73
False,False,False,4448,New York,4,1.62
False,False,False,2042,New York,3,0.48
False,False,False,2304,New York,4,20.41
False,True,False,3732,Sydney,2,2.8
False,False,False,3493,Sydney,0,4.98
False,True,True,2450,Sydney,0,11.36
False,False,False,1914,New York,0,28.34
False,False,False,2302,New York,1,5.77
False,False,False,1740,Sydney,2,28.94
False,False,False,3207,New York,3,1.31
False,False,False,3396,New York,1,1.3
False,False,False,8852,New York,1,1.64
False,True,False,9106,Tokyo,3,12.33
False,False,False,8692,Sydney,0,8.97
True,False,False,4430,New York,4,12.05
