noisy_day,highest_of_day,highest_of_week,total_volume,session,day_of_week,maximum_movement
False,True,True,72234,New York,3,6.54
False,True,False,28668,New York,2,3239.98
False,True,False,46876,New York,2,3.61
False,True,False,36059,New York,3,8.01
False,True,False,31372,New York,2,6.07
False,True,False,62483,New York,3,6.91
False,False,False,26647,New York,2,3.38
False,True,False,15151,New York,1,1.74
False,True,False,18762,New York,2,7.66
False,True,False,20670,New York,2,8.01
False,False,False,42778,New York,4,40.53
False,True,False,39510,New York,1,18.25
False,False,False,35649,New York,1,157.19
False,True,False,73825,New York,4,29.38
False,True,False,72430,London,2,11.9
False,True,False,45152,New York,2,107.34
False,True,False,56802,New York,4,182.05
False,True,False,41147,London,3,16.21
False,True,False,89601,New York,2,41.62
False,True,False,78817,London,2,11.7
False,True,False,96807,New York,2,9.62
False,False,False,44706,London,2,57.52
True,False,False,173807,New York,3,42.73
True,True,False,321387,New York,3,33.79
False,False,False,78808,London,1,77.9
False,True,False,20486,New York,4,23.68
False,False,False,28108,New York,1,270.62
False,True,False,35323,New York,3,172.74
False,False,False,36477,New York,2,22.91
False,True,False,32005,London,0,18.36
False,False,False,33300,New York,4,18.44
False,True,False,23977,Tokyo,4,13.81
False,False,False,27003,New York,1,8.11
False,True,False,19459,New York,4,20.06
