candle_size,noisy_day,percentage,day_of_week,session,highest_of_day,highest_of_week,volume,success
6.3,False,0.0036081027679302664,2,London,False,False,7756,True
6.35,False,0.003624346476107851,2,London,True,False,5343,False
1.62,False,0.000924420097577677,3,Sydney,True,False,1103,False
9.29,False,0.005199093376612474,0,London,True,True,8865,False
5.0,False,0.002794701246436756,2,London,False,False,4941,False
4.34,False,0.0023883948225763845,4,London,True,True,3589,True
3.23,False,0.0017787714911942551,1,Sydney,True,False,1281,False
2.61,False,0.0014362044582867895,1,Tokyo,True,False,1577,False
6.72,False,0.0037040303377722903,1,London,False,False,2829,False
3.66,False,0.0020170734798926433,3,Tokyo,False,False,789,False
4.25,False,0.002364053043787825,4,London,False,False,2186,False
2.54,False,0.0014460986649207207,4,Sydney,True,False,1985,True
3.19,False,0.0018144071893751953,4,Sydney,True,False,3096,True
2.6,False,0.0014768363892486312,4,Sydney,True,False,1727,False
4.99,False,0.0028253225906905905,4,Tokyo,True,False,4158,False
2.54,False,0.0014481763810414326,4,New York,False,False,538,False
6.47,False,0.003698728026296984,4,London,False,False,8494,True
3.3,False,0.0018860160482820107,4,New York,False,False,694,True
12.62,False,0.007261721177526641,3,London,True,False,7710,True
16.88,False,0.009597016283089238,3,London,True,False,12886,False
4.41,False,0.002502653039219581,1,Tokyo,True,True,2873,False
11.75,False,0.0066435978333389874,1,London,True,True,10990,False
5.87,False,0.0033100259388744785,2,Tokyo,True,True,3367,False
3.17,False,0.0017609741464552756,3,Tokyo,True,True,3451,False
2.79,False,0.0015680588106358226,2,Tokyo,True,False,4431,False
7.15,False,0.003986329399039936,4,Tokyo,True,True,6611,False
15.68,False,0.00867774998339716,4,London,True,True,9831,False
1.75,False,0.0009677383677848193,0,New York,False,False,2681,False
1.5,False,0.0008363115316209391,2,Sydney,True,False,930,False
3.52,False,0.0019576437088449903,2,New York,False,False,4501,False
3.43,False,0.0019195254351110863,0,Sydney,False,False,2304,False
3.68,False,0.0020705564620491757,3,New York,True,False,1216,False
4.3,False,0.002394702694875893,4,Sydney,True,False,4514,True
3.01,False,0.001676291886413125,4,Sydney,False,False,1285,False
6.33,False,0.0034586195026800205,1,London,True,True,8165,False
2.21,False,0.001189867284033704,4,Sydney,False,False,1373,False
4.25,False,0.002284798830182999,2,Tokyo,True,False,3596,True
3.75,False,0.002096811169573313,2,New York,False,False,2542,True
2.38,False,0.0013275915926636618,4,New York,True,False,1494,False
7.89,False,0.00439353610050005,1,Sydney,True,False,6172,True
2.84,False,0.0016004237741824596,1,New York,False,False,1248,True
11.0,False,0.006177103163238375,4,London,True,False,11050,False
7.08,False,0.0039668532432387,0,London,False,False,6129,False
2.57,False,0.0014410757041365039,1,Tokyo,True,False,3379,False
3.75,False,0.0020944806246579015,2,Sydney,True,True,3310,False
4.27,False,0.002389599923890962,0,Sydney,True,True,3590,False
2.69,False,0.0014948181489816898,3,New York,True,True,3306,True
5.3,False,0.002939969158059398,4,Sydney,True,True,3959,True
5.46,False,0.003040427664550618,2,London,True,False,6575,True
4.16,False,0.0023018525486377017,3,Sydney,True,True,3200,False
2.66,False,0.0014632670462359381,1,Tokyo,True,True,1997,False
3.68,False,0.0020424247133390317,3,Tokyo,False,False,3340,True
7.05,False,0.003886438809261301,3,London,True,False,5753,False
2.32,False,0.0012766823867357102,3,New York,True,False,2302,False
1.72,False,0.0009475644288720678,1,New York,False,False,3607,False
6.83,False,0.003768899679947026,1,London,True,True,9676,True
12.36,False,0.006722250322243795,2,London,True,True,10748,False
1.53,False,0.0008317341929732051,3,New York,False,False,2971,False
2.16,False,0.0011724983986711685,1,Sydney,False,False,2980,False
3.08,False,0.001719152926467141,4,New York,False,False,1331,False
13.88,False,0.0076931177634532565,3,London,False,False,15024,False
3.48,False,0.0019194599036960634,0,Tokyo,False,False,4314,True
2.01,False,0.0011004954967286265,1,London,False,False,4926,True
6.52,False,0.0035397845726198745,3,London,True,True,9038,False
4.35,False,0.002363013140525947,4,London,True,False,6655,True
21.48,True,0.010878593278366388,3,Tokyo,True,True,10788,False
4.28,False,0.002263460450259399,4,New York,False,False,4134,True
8.5,False,0.004458338141345055,0,New York,False,False,5225,False
9.89,False,0.005136941831535317,1,Tokyo,True,False,7588,False
8.41,False,0.004328937480053944,1,New York,True,True,9689,False
7.98,False,0.004100234812946055,4,Tokyo,False,False,6712,True
5.84,True,0.002932551319648094,1,Sydney,False,False,2433,True
27.37,True,0.013408187959574583,1,London,True,True,13707,True
7.54,False,0.0038990386852896615,3,Sydney,True,False,3375,True
3.41,False,0.0017752649882343144,2,Tokyo,False,False,2568,True
5.88,False,0.0030524206526366063,2,Tokyo,True,False,4076,True
7.47,False,0.0038588099161599933,2,London,True,False,7727,False
13.05,False,0.006668983350538118,3,Tokyo,True,True,5445,False
7.26,False,0.0037903705792062146,1,London,False,False,6655,True
4.76,False,0.0024552408560331355,4,Sydney,True,False,1581,False
4.93,False,0.002559044900077861,2,Tokyo,True,False,5129,False
12.76,False,0.006516554397397464,0,Tokyo,True,True,6444,False
