candle_size,noisy_day,percentage,day_of_week,session,highest_of_day,highest_of_week,volume,success
1.35,False,0.0007770052491021273,1,Sydney,True,False,1078,False
3.03,False,0.0017505141774316548,1,Tokyo,False,False,1619,False
2.91,False,0.0016810217839627057,2,Sydney,True,False,1881,True
3.02,False,0.0017394910548688468,2,Tokyo,True,False,1616,True
3.89,False,0.0022233907566387365,2,London,True,False,2938,True
1.75,False,0.0009981519928817504,3,New York,False,False,1269,False
1.97,False,0.001106872159074947,4,New York,True,True,520,False
4.36,False,0.0024544988825274585,0,London,False,False,2940,True
2.18,False,0.0012170204213793644,2,Sydney,True,False,1362,False
3.26,False,0.0018273645031642552,2,London,False,False,2148,False
3.27,False,0.0018370580105841507,3,Sydney,False,False,1070,False
4.45,False,0.002496941947502497,3,Tokyo,False,False,2810,True
3.47,False,0.0019446966385330152,4,Sydney,True,False,2103,False
9.37,False,0.005245596945573432,0,Sydney,True,True,3257,False
6.58,False,0.0036555352470264055,0,London,True,True,3565,False
1.17,False,0.0006492857856358005,1,Sydney,False,False,446,False
1.24,False,0.0006864557844971711,1,London,False,False,1224,False
0.86,False,0.0004767316167299537,1,New York,False,False,290,False
3.06,False,0.0017103571628192947,2,London,False,False,2087,True
3.66,False,0.002041271611823759,2,New York,False,False,866,False
2.37,False,0.0013187913861220856,4,Sydney,True,False,908,True
1.86,False,0.001035271591813562,4,London,False,False,1173,False
6.24,False,0.003441239728671483,4,London,True,True,2377,False
2.65,False,0.0014584479911942763,1,Tokyo,False,False,1029,False
2.45,False,0.0013504798337531764,2,Sydney,False,False,1104,True
2.35,False,0.0012951154857234184,3,Tokyo,False,False,532,True
1.51,False,0.0008337566534885263,4,Sydney,True,False,430,True
1.43,False,0.0007842664092664093,0,London,False,False,340,True
0.86,False,0.00047162826917909257,1,Sydney,False,False,249,True
4.11,False,0.0022674611055941746,1,London,False,False,2997,False
1.44,False,0.0008044243338360985,2,New York,False,False,333,False
5.21,False,0.0028949912761299353,3,London,True,False,1390,False
3.15,False,0.0017503014408036938,4,Sydney,True,False,2182,False
2.44,False,0.0013613412558931013,0,Sydney,True,True,727,False
4.81,False,0.0026619588918281732,2,London,True,False,2439,False
2.69,False,0.0014999107859755554,2,New York,False,False,777,False
1.13,False,0.0006438599690035554,4,Sydney,True,False,1115,True
2.06,False,0.0011724396990358675,4,Sydney,False,False,1503,True
1.13,False,0.0006401685966144711,1,Sydney,True,False,465,False
1.06,False,0.0005963230495735728,2,Sydney,True,False,1611,False
2.71,False,0.001522172606509956,2,Tokyo,True,False,2050,False
3.29,False,0.0018743555122573735,4,Tokyo,True,False,1823,False
2.72,False,0.0015549521223381451,4,London,False,False,3391,False
4.25,False,0.002424429118249391,0,London,False,False,3276,False
2.91,False,0.0016590177018899121,0,London,False,False,2167,False
6.86,False,0.0039429819519485,1,London,False,False,4070,False
0.72,False,0.00041628362791181725,3,Sydney,True,False,716,True
1.66,False,0.0009578820420198616,3,Sydney,True,False,1445,False
9.45,False,0.005437659677307984,3,London,True,False,4931,True
12.83,False,0.007311249522745793,3,London,True,False,6644,False
3.85,False,0.0021766046098789585,0,New York,False,False,1425,False
1.32,False,0.0007460366801367734,0,New York,False,False,308,False
4.11,False,0.0023336891594176565,1,London,False,False,3582,False
4.07,False,0.0023094164042329847,2,London,False,False,2673,False
1.4,False,0.0007937497873884497,3,Sydney,True,False,534,False
2.88,False,0.0016366426095357162,4,New York,False,False,1581,False
2.45,False,0.0013961068563092633,0,Tokyo,False,False,1563,False
2.92,False,0.0016586950841276512,1,Tokyo,False,False,1672,False
14.71,False,0.00825097317732581,2,London,True,True,7876,False
