noisy_day,highest_of_day,highest_of_week,total_volume,session,day_of_week,maximum_movement
False,False,False,7905,New York,4,4.5
False,False,False,8186,New York,1,3294.35
False,False,False,6053,Sydney,2,2.64
False,False,False,12536,New York,0,5.41
False,False,False,19966,New York,1,6.82
False,False,False,15759,Tokyo,1,17.59
False,False,False,8617,New York,1,4.43
False,True,False,6537,Sydney,2,178.33
False,False,False,25227,London,4,4.84
False,True,True,8566,Tokyo,0,100.29
False,False,False,8772,New York,4,2.39
False,False,False,3088,New York,2,3.87
False,False,False,4890,Tokyo,3,13.16
False,False,False,3587,New York,3,3.66
False,True,True,3098,New York,0,1.43
False,False,False,4003,New York,0,1.19
False,False,False,7460,Sydney,3,23.96
False,False,False,4520,New York,0,1.07
False,True,False,5556,New York,3,12.84
False,False,False,3084,New York,3,4.94
False,True,True,5003,New York,1,1.54
False,False,False,2417,New York,3,0.91
False,False,False,4084,New York,1,4.75
False,False,False,3890,New York,4,4.24
False,True,False,9578,New York,3,4.21
False,False,False,6331,Tokyo,4,19.43
False,True,False,3049,Sydney,1,6.23
False,True,True,4927,New York,1,3.42
False,True,True,29783,London,0,10.49
False,False,False,2410,New York,0,18.74
False,True,True,5449,New York,2,2.44
False,True,True,4986,New York,1,2.44
False,False,False,4241,New York,3,3.01
False,False,False,3492,New York,2,3.59
False,False,False,9102,London,0,3.3
False,False,False,9472,New York,3,4.22
False,True,True,5452,New York,1,5.17
False,False,False,12360,Tokyo,3,3.19
False,False,False,3673,New York,3,0.65
False,True,False,5303,Sydney,1,13.79
False,False,False,16694,London,1,8.46
False,True,False,3353,New York,1,1.42
False,True,False,11033,Sydney,3,2.2
False,False,False,4472,London,3,2.43
False,False,False,5183,New York,4,7.59
False,False,False,7573,New York,2,15.44
False,False,False,3631,London,0,16.27
False,False,False,20244,London,1,6.38
False,True,False,12287,Tokyo,0,2.66
False,False,False,8867,New York,1,2.78
False,True,False,5658,New York,4,3.26
False,False,False,3744,New York,0,1.91
False,True,True,5406,New York,1,6.76
False,True,False,3939,Sydney,4,70.52
False,False,False,9656,New York,4,15.4
False,True,False,12298,London,2,3.47
False,False,False,3769,New York,0,2.33
False,False,False,4580,London,0,4.79
False,False,False,7584,Sydney,3,1.6
False,False,False,3292,New York,4,2.16
False,False,False,3514,New York,1,4.94
False,False,False,6910,London,3,3.4
False,False,False,4367,New York,1,7.96
False,True,False,7983,Sydney,4,3.3
False,False,False,7899,London,2,4.19
False,False,False,4158,New York,4,4.0
False,False,False,8324,London,0,3.1
False,False,False,3084,New York,0,1.34
False,False,False,6558,New York,3,1.69
False,False,False,3507,New York,4,2.13
False,False,False,9292,London,3,3.65
False,False,False,5652,London,2,22.85
False,True,False,2313,New York,2,1.62
False,False,False,10712,London,2,2.07
False,False,False,8519,New York,4,65.95
False,False,False,6099,London,3,18.83
False,False,False,10785,New York,2,1.53
False,True,True,4192,New York,2,2.72
False,True,False,4191,New York,3,1.99
False,False,False,5952,New York,3,1.07
False,True,False,11074,New York,0,1.54
False,True,True,23589,London,1,1.76
False,False,False,7570,New York,1,13.08
False,False,False,33146,London,3,6.14
False,False,False,9464,New York,3,2.3
False,False,False,5745,Sydney,1,1.09
False,False,False,8903,New York,3,113.42
False,False,False,4744,New York,4,90.64
False,True,False,8489,Sydney,4,0.93
False,False,False,8499,New York,2,4.1
False,False,False,22897,London,1,11.22
False,False,False,9325,New York,3,1.12
False,False,False,8481,New York,4,3.62
False,False,False,6685,New York,0,1.72
False,False,False,8161,New York,3,1.22
False,False,False,14572,Tokyo,1,18.09
False,False,False,9693,New York,1,6.07
False,False,False,7741,New York,0,1.22
False,True,False,8567,Sydney,1,5.72
False,True,False,5460,Sydney,1,1.61
False,False,False,9429,New York,1,26.12
False,True,False,9439,New York,3,7.0
False,False,False,6915,New York,0,3.77
False,False,False,7153,New York,0,1.34
False,False,False,7137,New York,1,9.43
False,False,False,7213,New York,1,2.06
False,True,False,6283,New York,0,1.71
False,False,False,8317,New York,2,1.15
False,False,False,5634,New York,3,1.23
False,False,False,7748,New York,1,4.16
False,True,False,8921,New York,3,1.9
False,False,False,3263,New York,1,1.69
False,False,False,5602,New York,3,1.01
False,False,False,3135,New York,0,5.79
False,True,False,14556,London,1,3.31
False,True,False,3403,New York,2,2.19
False,False,False,6441,New York,0,1.45
False,False,False,2945,New York,4,11.28
False,False,False,3070,New York,0,2.83
False,True,False,3090,New York,2,1.25
False,False,False,3040,New York,1,1.03
False,True,False,3625,New York,3,1.41
False,True,False,4026,New York,2,5.0
False,True,True,3735,New York,3,1.98
False,False,False,2962,New York,4,4.71
False,True,True,7100,London,0,3.74
False,True,True,3416,New York,0,9.0
False,False,False,2158,New York,3,3.51
False,False,False,2279,New York,3,7.26
False,False,False,2302,New York,4,1.3
False,False,False,1797,New York,0,0.6
False,False,False,5946,New York,2,4.3
False,False,False,2063,New York,3,2.89
False,False,False,2474,New York,0,0.8
False,False,False,4191,New York,3,17.34
False,False,False,4171,New York,4,2.08
False,True,False,9886,New York,2,1.9
False,False,False,3700,New York,3,2.86
False,True,False,3261,London,2,7.14
False,False,False,2991,New York,0,8.47
False,True,False,1721,New York,3,9.69
False,False,False,2360,New York,1,2.21
False,True,False,2376,New York,4,2.29
False,False,False,1588,New York,2,2.29
False,True,False,2202,New York,2,1.45
False,False,False,2620,New York,2,2.75
False,True,False,2538,New York,3,3.69
False,False,False,1765,New York,0,1.19
False,True,False,5901,London,0,1.44
False,False,False,2306,New York,2,1.21
False,False,False,3813,New York,2,8.01
False,False,False,1326,New York,1,3.33
False,False,False,1515,New York,3,2.72
False,False,False,1411,New York,2,3.89
False,False,False,2228,New York,1,0.72
False,False,False,1142,New York,0,1.15
False,False,False,1032,New York,0,0.69
False,False,False,1290,New York,0,6.65
False,False,False,3905,New York,3,1.09
False,False,False,1684,New York,0,3.43
False,False,False,1718,New York,3,1.28
False,True,False,730,New York,4,3093.43
False,False,False,2690,New York,4,3076.4
False,False,False,1797,New York,1,0.54
False,False,False,1839,New York,4,1.17
False,False,False,2861,London,3,8.86
False,True,False,2559,New York,3,2.65
False,False,False,2615,New York,4,4.9
False,True,False,7242,New York,4,4.43
False,False,False,2758,New York,3,2.21
False,False,False,10931,New York,2,3.91
False,False,False,8103,New York,0,11.09
False,False,False,5086,New York,3,6.87
False,True,False,9636,Sydney,4,4.52
False,False,False,4064,New York,4,13.22
False,True,False,6100,London,2,21.19
False,True,False,9696,Tokyo,4,5.91
False,True,False,5472,New York,1,38.36
False,False,False,3925,New York,0,1.7
False,False,False,9439,New York,3,3.4
False,False,False,4160,New York,0,1.67
False,False,False,11884,London,1,55.34
