noisy_day,highest_of_day,highest_of_week,total_volume,session,day_of_week,maximum_movement
False,False,False,972,New York,1,1.09
False,False,False,515,New York,2,1.67
False,True,False,2937,Tokyo,3,1.55
False,False,False,783,New York,4,2.65
False,False,False,1488,Sydney,4,1.6
False,True,False,676,New York,1,1.14
False,False,False,815,New York,1,1.62
False,True,True,11200,London,2,5.49
False,False,False,4402,New York,4,1.5
False,False,False,823,New York,1,0.33
False,False,False,794,New York,2,0.33
False,False,False,1006,New York,3,1.27
False,False,False,850,New York,1,0.66
False,False,False,3352,New York,4,1.57
False,False,False,779,New York,1,0.89
False,True,False,603,New York,2,0.73
False,False,False,1523,New York,2,107.34
False,False,False,10278,London,2,7.21
False,False,False,984,New York,0,1.19
False,True,False,744,New York,4,5.59
False,True,True,1316,New York,0,6.33
False,False,False,1668,London,3,27.13
False,False,False,2064,New York,0,4.59
False,False,False,2371,Sydney,0,4.08
False,True,True,8754,London,0,3.65
False,False,False,1196,New York,0,3.64
False,True,False,877,New York,2,9.18
False,False,False,1461,New York,2,3.04
False,False,False,1233,New York,3,4.55
False,False,False,833,New York,1,3.32
False,False,False,2067,New York,2,4.4
False,False,False,5497,London,3,71.47
False,True,False,8075,London,3,8.86
False,False,False,3001,London,4,12.9
False,True,False,3315,Sydney,2,1.7
False,True,False,5322,London,4,1.68
False,True,False,4932,Sydney,1,1.52
False,False,False,3867,Tokyo,2,2.19
False,False,False,2157,New York,0,1.2
False,False,False,1054,New York,0,1.62
False,False,False,1489,New York,1,1.09
False,False,False,2435,New York,2,66.44
False,True,False,7628,Tokyo,2,13.94
False,False,False,882,New York,3,2.87
False,False,False,4593,New York,4,7.03
False,False,False,2022,New York,3,7.42
False,False,False,1500,New York,1,1.68
False,False,False,3929,London,2,3.1
False,False,False,3595,New York,4,2.39
False,False,False,2097,New York,4,2.35
False,False,False,2060,New York,0,6.12
False,False,False,1714,New York,2,28.02
False,True,False,3233,Sydney,4,13.67
False,False,False,868,New York,3,2.27
False,False,False,2301,Tokyo,1,4.64
False,True,True,1954,New York,1,4.63
False,True,True,2803,Tokyo,0,8.1
False,False,False,1562,New York,1,8.28
False,False,False,1127,New York,3,0.92
False,False,False,1430,New York,1,2.93
False,False,False,4228,New York,4,5.14
False,True,False,558,New York,3,1.05
False,True,False,4204,London,4,2.83
False,True,False,594,Sydney,1,2.05
False,True,False,2223,Tokyo,3,3.16
False,False,False,1879,New York,2,5.56
False,True,True,2799,New York,4,1.83
False,False,False,6817,New York,4,4.78
False,False,False,684,New York,0,16.7
False,False,False,3052,Tokyo,1,2.38
False,True,True,6755,Tokyo,4,24.41
False,True,True,2498,New York,0,20.05
False,False,False,6226,New York,1,3.29
False,True,False,4464,Sydney,4,14.66
False,False,False,1274,New York,4,5.01
False,False,False,1404,New York,0,4.77
False,True,True,6409,New York,0,1.65
False,True,True,5079,Tokyo,0,2.23
False,True,False,5009,Sydney,2,8.78
False,False,False,7991,London,3,8.76
False,True,False,5246,Sydney,4,39.0
False,False,False,4175,New York,2,41.62
False,False,False,5833,Sydney,1,3.14
False,False,False,5011,New York,1,2613.66
False,False,False,2179,Sydney,2,3.75
False,True,False,5053,Sydney,0,1.71
False,False,False,2202,Sydney,1,4.21
False,True,False,6889,New York,3,2595.86
False,False,False,6562,London,3,4.6
False,False,False,15438,London,4,116.1
False,False,False,4056,Tokyo,0,3.71
False,False,False,2866,New York,4,2.67
False,True,False,6174,Tokyo,1,5.36
False,False,False,3821,New York,0,13.06
False,False,False,1978,New York,2,1.17
False,False,False,7113,New York,3,2.58
False,False,False,5910,Tokyo,0,2.07
False,False,False,1285,New York,2,1.9
False,True,True,6134,New York,1,1.51
False,False,False,1827,New York,1,1.4
False,True,True,2858,Sydney,2,2571.63
False,False,False,2260,New York,4,199.66
True,True,True,7528,Sydney,0,7.59
False,False,False,5304,London,2,57.52
False,False,False,11089,London,0,72.66
False,True,False,3675,Sydney,2,12.67
False,False,False,6817,Tokyo,3,5.25
False,True,False,4432,Sydney,2,7.61
False,True,False,6708,Tokyo,1,86.34
False,False,False,1040,Sydney,2,3.4
False,False,False,1292,New York,2,4.6
False,False,False,2217,Tokyo,2,3.41
False,False,False,2090,New York,2,4.58
False,True,False,2484,New York,2,3.53
False,False,False,1895,New York,2,5.55
False,False,False,2167,Sydney,4,1.12
False,False,False,3160,Sydney,2,2.59
False,False,False,4831,New York,0,34.41
False,False,False,1562,New York,2,1.73
False,False,False,991,New York,4,0.96
False,False,False,1323,New York,1,10.65
False,False,False,1258,Sydney,4,0.76
False,True,False,5842,Tokyo,1,5.13
False,False,False,4137,New York,1,1.38
False,False,False,4010,New York,2,0.93
False,False,False,2254,New York,0,1.02
False,False,False,1562,New York,2,5.49
False,False,False,4616,New York,3,2.57
False,False,False,853,New York,0,0.99
False,False,False,1435,New York,2,2.96
False,False,False,1368,New York,3,1.41
False,False,False,1511,New York,0,1.88
False,False,False,1586,New York,2,8.1
False,True,False,1288,Sydney,1,4.27
False,False,False,4946,New York,4,4.55
False,False,False,1831,New York,0,1.06
False,True,False,1196,New York,2,6.67
False,False,False,3417,Tokyo,4,2.38
False,False,False,3253,New York,0,1.08
False,True,False,3992,Sydney,2,1.35
False,False,False,1155,New York,0,167.12
False,False,False,960,New York,2,1.13
False,True,False,3821,Sydney,3,4.09
True,False,False,2161,New York,0,14.86
False,True,False,6338,London,1,10.27
True,True,False,2944,New York,3,9.62
True,True,False,19365,Tokyo,2,3.1
True,False,False,25746,Tokyo,4,8.41
True,True,False,30139,London,1,13.08
True,False,False,2625,Sydney,4,2.15
False,True,False,1844,Sydney,4,3.17
False,False,False,7898,New York,4,1.52
False,False,False,6670,Tokyo,1,2267.02
False,True,False,3960,Sydney,4,2.65
False,True,False,1465,New York,0,11.94
False,False,False,7164,London,3,2175.1
True,False,False,2120,New York,4,28.15
False,True,False,9625,London,0,84.96
False,True,False,2006,New York,2,56.67
False,False,False,4127,London,3,6.61
False,True,False,2782,New York,0,6.31
False,False,False,3141,New York,1,3.41
False,True,False,936,New York,2,2.54
False,True,False,6112,London,1,7.28
False,True,False,2920,Sydney,0,157.77
False,True,False,1867,Sydney,1,9.54
False,False,False,3602,London,2,17.41
False,False,False,1135,New York,3,3.01
False,False,False,2201,New York,4,36.23
False,False,False,1992,New York,0,4.41
False,False,False,5440,London,1,4.23
False,False,False,1277,New York,1,2.33
False,True,False,4684,London,2,6.48
False,True,False,1854,New York,3,5.08
False,False,False,5568,London,0,22.26
False,False,False,3772,London,2,28.1
False,True,False,4715,London,0,13.11
False,False,False,1121,New York,0,6.73
False,False,False,2240,New York,1,1.21
False,False,False,2564,New York,0,2.86
False,True,False,4114,London,2,13.27
False,False,False,3707,London,4,6.16
False,False,False,2170,New York,1,1.42
False,True,False,733,New York,2,2.19
False,True,False,949,New York,3,0.65
False,False,False,3899,London,3,103.41
False,True,False,4504,Tokyo,4,7.22
False,False,False,6518,Tokyo,3,4.07
False,True,False,1537,Sydney,2,1.75
False,False,False,3480,Sydney,0,4.59
True,False,False,5219,New York,0,2.53
False,True,False,10927,Sydney,3,5.3
False,False,False,9866,Sydney,4,2.83
False,False,False,7473,London,3,7.02
