candle_size,noisy_day,day_of_week,session,lowest_of_day,lowest_of_week,total_volume,success
0.88,True,0,Tokyo,False,False,4947,True
1.6,False,4,London,False,False,3423,False
1.18,False,3,Tokyo,True,False,3250,True
0.28,False,4,New York,True,False,948,True
0.75,False,4,Sydney,False,False,3851,True
2.4,False,3,Tokyo,False,False,2935,False
0.04,False,3,New York,True,False,880,True
0.37,False,4,New York,True,False,823,True
1.7,False,1,Sydney,False,False,2995,True
1.03,False,4,New York,False,False,2128,True
0.93,False,1,New York,False,False,3468,False
0.36,False,2,New York,True,False,1243,True
1.11,False,0,London,False,False,8453,True
0.58,False,3,Sydney,True,False,974,False
2.48,False,3,New York,False,False,2184,True
0.92,False,4,Sydney,False,False,2885,True
2.77,False,1,Tokyo,False,False,2768,True
2.72,False,0,Tokyo,True,True,7011,True
3.02,False,2,London,True,True,8564,False
0.74,False,4,New York,True,False,1065,True
0.1,False,4,Tokyo,False,False,3733,False
0.68,False,1,Sydney,True,False,1301,False
1.64,False,2,London,False,False,10635,False
0.75,False,3,New York,True,False,2040,False
0.56,False,3,New York,True,False,1185,True
0.99,False,4,New York,False,False,2215,True
1.13,False,3,New York,True,False,1627,True
0.76,False,2,Sydney,True,False,3031,True
0.12,False,4,New York,True,False,1254,True
0.05,False,0,New York,True,False,3173,True
0.03,False,3,New York,True,False,1107,False
1.7,False,4,Tokyo,False,False,4214,False
3.51,False,2,Tokyo,False,False,5025,True
1.11,False,4,Tokyo,False,False,3446,True
0.75,False,3,New York,True,False,1332,True
0.82,False,1,Tokyo,False,False,5570,False
0.95,False,3,New York,True,False,1236,False
0.32,False,4,London,False,False,8227,True
1.92,False,2,London,False,False,12774,False
0.45,False,3,New York,True,False,1646,True
2.04,False,2,Tokyo,False,False,4903,True
0.28,False,2,Tokyo,False,False,4252,True
0.98,False,3,Sydney,False,False,2908,False
0.25,False,0,New York,False,False,1768,True
0.4,False,1,Sydney,False,False,1499,True
3.55,False,1,London,False,False,18679,False
1.36,True,1,Tokyo,False,False,20431,False
1.75,True,4,New York,False,False,6412,True
0.69,False,3,Sydney,False,False,1977,False
0.59,False,4,New York,False,False,3019,True
0.27,False,0,New York,True,False,3575,False
1.23,False,2,Sydney,False,False,1124,True
1.56,False,2,Sydney,False,False,1126,False
1.37,False,1,Tokyo,False,False,5378,True
11.72,False,2,New York,False,False,4624,False
0.09,False,1,London,False,False,4972,True
0.32,False,1,New York,False,False,2630,True
1.0,False,0,Tokyo,False,False,3839,True
1.5,False,3,New York,False,False,4385,True
3.74,True,4,London,False,False,15570,False
5.87,False,2,Sydney,False,False,6896,False
8.2,False,0,Tokyo,False,False,9787,False
0.17,False,3,London,False,False,5619,True
3.7,False,1,London,False,False,6005,True
0.84,False,0,Tokyo,False,False,3227,True
0.64,False,3,Tokyo,False,False,2708,True
2.31,False,4,Tokyo,False,False,2797,False
2.9,False,3,Tokyo,False,False,3663,True
1.13,False,4,Sydney,False,False,2038,True
4.58,False,1,New York,False,False,3875,True
2.46,False,1,New York,True,False,1571,False
0.01,False,3,London,False,False,5110,True
1.75,False,3,London,False,False,4448,True
3.04,False,4,Tokyo,False,False,3971,False
1.52,False,0,New York,True,False,2170,True
4.62,False,1,London,False,False,4899,False
7.46,False,2,London,True,False,6159,True
0.11,False,4,New York,True,False,1561,True
0.3,False,0,New York,True,False,2026,False
0.48,False,3,New York,False,False,3888,True
1.1,False,4,New York,False,False,841,False
0.03,False,2,New York,True,False,1091,True
3.42,False,2,London,False,False,4452,False
1.51,False,2,New York,True,False,3886,True
11.69,True,4,Tokyo,False,False,4490,False
8.85,False,4,London,False,False,6360,False
4.18,True,2,Tokyo,False,False,3964,True
0.18,False,1,Tokyo,False,False,4916,True
1.4,False,3,Tokyo,False,False,3042,False
2.28,False,0,Tokyo,False,False,3419,False
4.5,False,4,Tokyo,True,False,3345,True
3.0,False,3,New York,False,False,3184,False
15.66,False,4,New York,True,False,4971,False
1.7,False,4,New York,False,False,3956,True
2.54,False,0,London,False,False,4253,False
5.71,True,0,New York,True,False,3783,True
13.1,False,2,London,False,False,5070,False
2.12,True,0,New York,False,False,4539,True
2.53,False,1,Tokyo,False,False,3954,True
1.76,True,1,Sydney,False,False,5852,True
1.68,True,2,Sydney,False,False,4626,True
