noisy_day,highest_of_day,highest_of_week,total_volume,session,day_of_week,maximum_movement
False,True,True,8411,New York,0,1.07
False,True,False,10160,Tokyo,2,3.49
False,True,True,19716,London,3,8.83
False,True,False,8621,Sydney,3,5.52
False,False,False,15682,New York,4,13.82
False,False,False,12345,London,0,3.1
False,False,False,8269,London,2,22.85
False,False,False,6578,New York,3,4.68
False,True,False,9108,New York,1,6.44
False,True,False,19820,Sydney,0,7.3
False,True,False,16330,Sydney,0,1.7
False,False,False,3522,Sydney,2,11.74
False,False,False,15955,London,1,10.36
False,True,False,7837,London,1,10.39
False,False,False,5852,Sydney,2,4.5
False,False,False,3763,New York,4,2.21
False,True,False,10816,London,4,9.45
False,False,False,8074,New York,4,59.91
False,False,False,7865,New York,1,38.11
False,False,False,9057,New York,4,2.9
True,False,False,17915,New York,1,13.65
False,True,False,7750,Tokyo,4,11.08
False,False,False,14269,New York,0,40.2
False,False,False,11305,London,1,15.37
False,False,False,17653,London,2,25.56
False,True,False,12310,London,4,23.74
False,True,False,11208,Tokyo,4,4.48
False,False,False,10024,New York,0,0.98
False,False,False,20901,Tokyo,3,5.25
False,True,False,4550,Sydney,1,8.88
False,True,False,15040,Tokyo,2,2.39
False,True,False,11021,Sydney,4,4.4
False,False,False,39423,London,1,77.9
False,True,False,14387,Tokyo,1,19.13
False,True,False,4999,Sydney,2,19.39
False,True,False,6119,Sydney,4,48.22
False,True,False,4926,Sydney,4,105.78
False,False,False,10282,New York,4,16.9
False,False,False,9406,New York,1,7.6
True,True,False,11009,London,4,1047.88
True,True,False,10638,New York,2,15.73
