noisy_day,highest_of_day,highest_of_week,total_volume,session,day_of_week,maximum_movement
False,False,False,974,New York,1,1.06
False,False,False,1155,New York,0,167.12
True,False,False,1980,New York,4,35.76
True,False,False,2625,Sydney,4,2.15
False,False,False,2475,New York,4,1.4
False,False,False,2241,Sydney,2,3.65
False,True,False,1691,Sydney,3,38.97
False,False,False,4981,New York,4,2.29
False,False,False,1070,New York,2,2.09
False,False,False,2773,New York,0,2.48
False,True,False,2994,New York,2,5.26
