open,high,low,close,tick_volume,date,time_only,noisy_day
1826.57,1832.55,1823.52,1828.53,13671,2023-01-03,00:00:00,False
1828.55,1843.14,1828.34,1840.39,17137,2023-01-03,04:00:00,False
1840.38,1849.99,1834.56,1838.87,32544,2023-01-03,08:00:00,False
1838.79,1841.02,1830.85,1838.9,27677,2023-01-03,12:00:00,False
1838.9,1849.86,1827.58,1839.34,45722,2023-01-03,16:00:00,False
1839.33,1840.21,1836.53,1839.47,16779,2023-01-03,20:00:00,False
1838.76,1844.56,1836.18,1844.38,10187,2023-01-04,00:00:00,False
1844.37,1847.18,1843.42,1846.4,12859,2023-01-04,04:00:00,False
1846.42,1865.12,1845.85,1860.56,29077,2023-01-04,08:00:00,False
1860.58,1862.84,1852.8,1860.11,29641,2023-01-04,12:00:00,False
1860.07,1860.88,1849.08,1850.53,49987,2023-01-04,16:00:00,False
1850.53,1857.15,1847.12,1854.68,27574,2023-01-04,20:00:00,False
1854.48,1859.03,1853.92,1858.88,9405,2023-01-05,00:00:00,False
1858.89,1858.89,1850.21,1852.66,13316,2023-01-05,04:00:00,False
1852.71,1855.66,1843.83,1848.52,26107,2023-01-05,08:00:00,False
1848.52,1851.31,1833.08,1834.84,32169,2023-01-05,12:00:00,False
1834.78,1837.92,1825.11,1833.98,46694,2023-01-05,16:00:00,False
1833.96,1837.48,1831.92,1832.92,15208,2023-01-05,20:00:00,False
1832.3,1836.11,1831.31,1835.48,7697,2023-01-06,00:00:00,False
1835.47,1840.85,1835.44,1837.14,13188,2023-01-06,04:00:00,False
1837.14,1840.65,1833.28,1835.5,19665,2023-01-06,08:00:00,False
1835.53,1852.52,1834.07,1851.86,32641,2023-01-06,12:00:00,False
1851.81,1864.99,1840.66,1862.38,47886,2023-01-06,16:00:00,False
1862.38,1869.87,1861.78,1866.03,13372,2023-01-06,20:00:00,False
1867.72,1875.29,1866.44,1874.43,13543,2023-01-09,00:00:00,False
1874.44,1879.54,1874.25,1877.95,14075,2023-01-09,04:00:00,False
1877.95,1880.99,1871.31,1873.61,24394,2023-01-09,08:00:00,False
1873.62,1878.44,1870.48,1878.22,26649,2023-01-09,12:00:00,False
1878.22,1881.58,1869.07,1871.9,39481,2023-01-09,16:00:00,False
1871.91,1875.77,1869.22,1871.67,16199,2023-01-09,20:00:00,False
1870.99,1875.99,1867.72,1874.45,11415,2023-01-10,00:00:00,False
1874.49,1875.61,1870.71,1874.06,14947,2023-01-10,04:00:00,False
1874.07,1877.31,1870.64,1876.88,22041,2023-01-10,08:00:00,False
1876.87,1877.19,1870.47,1873.41,25035,2023-01-10,12:00:00,False
1873.41,1880.77,1871.23,1874.3,45249,2023-01-10,16:00:00,False
1874.3,1878.67,1871.99,1876.91,13244,2023-01-10,20:00:00,False
