noisy_day,is_highest_day,is_highest_week,session,target
0,0,0,3,3.29
0,0,0,2,8.45
0,0,0,3,1.23
0,0,0,3,3.95
0,0,0,3,3.52
0,0,0,1,6.33
0,0,0,2,1.09
0,0,0,0,2.98
0,0,0,3,1.51
0,1,1,3,1.09
0,0,0,2,12.03
0,0,0,2,7.01
0,0,0,3,8.29
0,0,0,3,2.55
0,0,0,1,2.67
0,0,0,1,5.56
0,0,0,0,2.32
0,0,0,2,4.48
0,0,0,2,1.55
0,0,0,3,4.49
0,0,0,0,3.25
0,0,0,3,3.92
1,1,1,3,3.46
0,0,0,1,4.04
0,1,1,3,20.08
0,1,0,0,49.63
0,0,0,1,47.32
0,1,0,2,4.52
0,0,0,2,6.43
0,0,0,3,11.74
0,0,0,1,2.31
0,0,0,3,2.0
0,0,0,3,3.15
0,0,0,2,2.13
0,0,0,3,25.6
0,0,0,1,8.84
0,0,0,0,3.48
0,0,0,3,0.85
0,1,0,3,2.48
0,0,0,2,3.12
0,0,0,0,2.24
0,1,0,1,4.63
0,1,0,0,2.43
0,0,0,0,4.0
0,0,0,1,4.97
0,0,0,3,1.27
0,0,0,0,1.04
0,0,0,2,2.09
0,1,0,3,0.99
0,0,0,2,2.6
0,1,0,1,1.39
0,0,0,3,2.81
0,0,0,1,5.51
0,0,0,3,1.56
0,0,0,3,0.75
0,0,0,0,1.73
0,0,0,1,13.13
0,0,0,2,2.34
0,0,0,2,59.99
0,0,0,1,21.08
0,0,0,2,2.33
0,1,0,3,0.6
0,0,0,1,2.13
0,0,0,3,0.47
0,0,0,3,2.24
0,1,1,3,15.27
0,0,0,1,0.87
0,1,1,0,6.0
0,1,1,1,5.09
0,0,0,3,0.39
0,1,1,0,176.11
0,0,0,0,8.27
0,1,0,3,1.21
0,0,0,2,3.04
0,0,0,2,1.01
0,0,0,2,2.8
0,0,0,0,3.44
0,1,1,3,2.55
0,0,0,0,50.94
0,0,0,2,3.68
0,0,0,3,0.55
0,0,0,0,2.92
0,0,0,1,10.07
0,1,1,2,2.4
0,1,0,2,12.76
0,0,0,2,2.16
0,0,0,3,3.37
0,1,0,1,3.87
0,0,0,1,0.99
0,1,1,3,5.33
0,0,0,0,2.0
0,0,0,0,3.24
0,1,1,1,116.48
0,0,0,3,1.56
0,0,0,1,4.77
0,0,0,0,7.3
0,1,1,3,2.95
0,1,1,2,7.46
0,0,0,1,1.36
0,0,0,3,1.46
0,0,0,3,16.52
0,0,0,0,8.26
0,0,0,3,9.01
0,1,0,3,1.58
0,0,0,0,1.4
0,0,0,0,1.42
0,0,0,3,0.57
0,0,0,3,2.13
0,0,0,3,5.55
0,0,0,1,2.88
0,0,0,2,38.28
0,0,0,1,2.59
0,0,0,1,1.86
0,1,1,3,3.7
1,1,1,3,3.8
0,0,0,1,1.11
1,1,1,2,5.23
1,0,0,0,0.78
1,0,0,3,1.2
1,0,0,3,1.34
1,0,0,3,3.13
1,1,0,3,2.31
1,0,0,3,6.62
1,0,0,2,19.96
1,0,0,2,1.99
1,1,0,3,1.3
1,0,0,3,1.81
1,0,0,2,8.1
0,0,0,3,1.84
0,0,0,0,1.79
0,0,0,1,1.74
0,0,0,3,2.29
0,0,0,2,2.71
0,0,0,3,5.71
0,0,0,1,1.45
0,0,0,3,1.81
0,0,0,2,9.35
0,0,0,0,1.26
0,0,0,3,2.36
0,1,0,3,0.94
0,0,0,3,1.33
0,0,0,1,1.87
0,1,0,3,1.65
0,0,0,1,1.45
0,0,0,3,2.49
0,1,1,2,5.07
0,0,0,3,26.38
0,0,0,3,1.85
0,0,0,2,30.15
0,1,1,3,3.37
0,1,0,2,7.2
0,0,0,3,113.25
0,0,0,1,3.54
0,1,0,3,0.93
0,0,0,2,7.2
0,1,0,0,3.99
0,0,0,3,63.87
0,0,0,1,2.3
0,1,0,2,12.57
0,0,0,0,9.15
0,0,0,1,2.33
0,0,0,0,1.17
0,1,1,0,7.9
0,1,0,0,24.42
0,0,0,2,3.71
0,1,0,3,0.68
0,1,0,3,1.64
0,1,0,0,1.87
0,1,0,1,8.0
0,1,1,3,1.82
0,1,1,2,10.15
0,0,0,1,2.36
0,0,0,3,1.77
0,0,0,1,6.17
0,0,0,0,1.92
0,0,0,0,13.12
0,0,0,1,2.35
0,0,0,2,24.33
0,0,0,3,27.49
0,0,0,3,3.38
0,1,1,1,9.42
0,1,1,0,1.22
0,0,0,0,25.07
0,1,0,3,0.52
0,1,0,1,1.85
0,0,0,2,3.72
0,0,0,3,2.87
0,1,0,0,1.07
0,0,0,1,7.47
0,0,0,3,0.91
0,0,0,0,7.97
0,0,0,1,2.72
0,0,0,3,0.9
0,0,0,3,2.78
0,0,0,3,1.71
0,0,0,0,1.36
0,0,0,2,11.53
0,1,1,2,10.68
0,1,0,1,3.52
0,1,1,2,14.05
0,1,1,3,1.73
0,1,1,3,0.83
0,1,1,0,3.97
0,1,1,0,2.48
0,0,0,3,3.47
0,0,0,3,1.86
0,0,0,0,1.94
0,0,0,1,6.27
0,0,0,0,2.34
0,0,0,2,18.69
0,0,0,3,4.06
0,1,1,1,7.2
0,1,0,2,34.68
0,1,1,3,3.14
0,0,0,3,3.04
0,0,0,1,3.96
0,1,0,2,6.21
0,0,0,0,2.73
0,1,1,3,1.32
0,1,1,0,1.31
0,0,0,3,3.9
0,1,0,0,1.57
0,0,0,3,6.29
0,0,0,3,2.4
0,0,0,3,5.62
0,0,0,3,26.47
0,0,0,3,13.84
0,0,0,0,8.48
0,0,0,2,5.99
0,1,0,0,1.54
0,1,0,0,2.49
0,0,0,3,7.35
0,0,0,3,1.15
0,1,1,1,7.11
0,0,0,1,7.33
0,1,1,3,0.98
0,0,0,0,1.26
0,0,0,1,2.08
0,0,0,3,10.92
0,0,0,2,3.31
0,1,0,0,3.56
0,0,0,1,15.3
0,1,0,3,22.67
0,1,1,0,10.95
0,1,1,3,1.56
0,0,0,1,3.37
0,1,0,3,1.01
0,0,0,2,5.71
1,0,0,3,2.24
0,0,0,3,3.09
0,0,0,1,6.2
0,0,0,1,2.85
0,0,0,0,2.72
0,1,1,0,5.9
0,0,0,0,2.05
0,1,1,3,23.64
1,0,0,2,3.5
0,1,0,3,1.2
0,0,0,2,2.19
0,0,0,0,2.85
0,0,0,0,2.41
0,0,0,1,5.9
0,1,1,2,15.99
0,0,0,3,2.14
0,0,0,3,1.94
0,0,0,1,2.18
0,1,0,1,3.91
0,1,0,2,5.21
0,0,0,1,2.62
0,0,0,0,3.24
0,0,0,2,16.25
0,1,1,2,7.37
